nome,latitude,longitude
Prefeitura de Cascavel,-24.952768,-53.479300
Centro (Praça Getúlio Vargas),-24.955320,-53.469874
Unioeste (Reitoria),-24.988082,-53.448837
UTFPR Toledo,-24.7330519,-53.7686376
